time,wx (rad/s),wy (rad/s),wz (rad/s)
4.564879,-0.31,0.95,0.02
4.575544,-0.32,0.98,0.01
4.585574,-0.33,1.00,0.00
4.595955,-0.34,1.02,0.00
4.608210,-0.33,1.05,0.00
4.616613,-0.31,1.09,0.00
4.626967,-0.29,1.12,-0.00
4.637811,-0.27,1.14,-0.00
4.647421,-0.24,1.15,-0.00
4.657367,-0.22,1.15,-0.00
4.667344,-0.19,1.13,-0.00
4.678454,-0.16,1.09,-0.00
4.688347,-0.15,1.03,0.00
4.698002,-0.14,0.94,0.01
4.711313,-0.14,0.82,0.02
4.718838,-0.15,0.68,0.03
4.728733,-0.17,0.53,0.06
4.739686,-0.20,0.37,0.08
4.749709,-0.26,0.22,0.09
4.760318,-0.33,0.08,0.09
4.770599,-0.39,-0.04,0.09
4.780011,-0.43,-0.15,0.10
4.790449,-0.48,-0.27,0.10
4.800848,-0.54,-0.42,0.10
4.811267,-0.62,-0.62,0.09
4.822563,-0.68,-0.81,0.09
4.831784,-0.72,-0.93,0.09
4.841675,-0.74,-0.99,0.08
4.852982,-0.76,-1.07,0.08
4.862535,-0.78,-1.20,0.07
4.873028,-0.78,-1.34,0.06
4.883167,-0.73,-1.43,0.04
4.892992,-0.63,-1.42,0.01
4.904072,-0.48,-1.31,-0.01
4.913358,-0.31,-1.11,-0.04
4.923572,-0.14,-0.84,-0.07
4.934607,0.01,-0.55,-0.11
4.944031,0.15,-0.27,-0.14
4.955582,0.27,-0.03,-0.16
4.964949,0.33,0.15,-0.18
4.974933,0.36,0.26,-0.19
4.985392,0.35,0.30,-0.20
4.996374,0.33,0.28,-0.21
5.009459,0.29,0.23,-0.21
5.016169,0.20,0.15,-0.16
5.026491,0.14,0.08,-0.17
5.037072,0.11,0.04,-0.18
5.047099,0.03,-0.05,-0.17
5.057248,-0.01,-0.10,-0.16
5.067686,-0.07,-0.12,-0.17
5.077224,-0.10,-0.13,-0.17
5.088424,-0.10,-0.03,-0.19
5.098045,-0.10,0.09,-0.26
5.108173,-0.03,0.21,-0.26
5.119240,0.04,0.33,-0.27
5.129003,0.11,0.44,-0.29
5.139291,0.17,0.54,-0.32
5.149176,0.23,0.62,-0.33
5.159592,0.29,0.67,-0.35
5.172019,0.32,0.70,-0.35
5.180214,0.34,0.70,-0.35
5.191564,0.34,0.68,-0.35
5.201111,0.33,0.64,-0.35
5.211028,0.31,0.58,-0.36
5.221096,0.29,0.51,-0.37
5.232051,0.28,0.44,-0.37
5.241344,0.27,0.36,-0.37
5.251778,0.28,0.30,-0.36
5.262873,0.28,0.25,-0.34
5.273031,0.28,0.21,-0.33
5.282683,0.26,0.17,-0.32
5.292964,0.24,0.13,-0.31
5.303342,0.17,0.08,-0.23
5.314051,0.14,0.02,-0.24
5.324280,0.12,-0.06,-0.30
5.335148,0.02,-0.16,-0.24
5.344823,-0.08,-0.33,-0.20
5.354492,-0.19,-0.58,-0.16
5.365965,-0.30,-0.88,-0.12
5.375226,-0.40,-1.16,-0.09
5.387184,-0.46,-1.33,-0.07
5.396187,-0.49,-1.42,-0.06
5.405733,-0.49,-1.48,-0.06
5.417077,-0.47,-1.52,-0.07
5.426707,-0.44,-1.54,-0.06
5.437080,-0.43,-1.54,-0.06
5.447695,-0.45,-1.52,-0.05
5.457146,-0.48,-1.49,-0.04
5.467784,-0.52,-1.45,-0.02
5.477797,-0.55,-1.40,-0.02
5.488080,-0.57,-1.35,-0.02
5.498336,-0.56,-1.31,-0.02
5.507986,-0.54,-1.26,-0.03
5.518667,-0.50,-1.21,-0.04
5.528653,-0.48,-1.16,-0.06
5.541026,-0.48,-1.10,-0.07
5.549116,-0.48,-1.03,-0.08
5.559629,-0.49,-0.96,-0.08
5.569468,-0.50,-0.90,-0.08
5.579839,-0.51,-0.85,-0.07
